Class	Level	Name	School	Casting Time	Range	Components	Duration	Description
Rogue (Arcane Trickster)	0	Acid Splash	Conjuration cantrip	1 action	60 feet	V, S	Instantaneous	You hurl a bubble of acid. Choose one creature within range, or choose two creatures within range that are within 5 feet of each other. A target must succeed on a Dexterity saving throw or take 1d6 acid damage.<br> This spells damage increases by 1d6 when you reach 5th Level (2d6), 11th level (3d6) and 17th level (4d6).
Rogue (Arcane Trickster)	0	Blade Ward	Abjuration cantrip	1 action	Self	V, S	1 round	You extend your hand and trace a sigil of warding in the air. Until the end of your next turn, you have resistance against bludgeoning, piercing, and slashing damage dealt by weapon attacks.
Rogue (Arcane Trickster)	0	Chill Touch	Necromancy cantrip	1 action	120 feet	V, S	1 round	You create a ghostly, skeletal hand in the space of a creature within range. Make a ranged spell attack against the creature to assail it with the chill of the grave. On a hit, the target takes 1d8 necrotic damage, and it can't regain hit points until the start of your next turn. Until then, the hand clings to the target.<br> If you hit an undead target, it also has disadvantage on attack rolls against you until the end of your next turn. This spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).
Rogue (Arcane Trickster)	0	Dancing Lights	Evocation cantrip	1 action	120 feet	V, S, M	Concentration, up to 1 minute	You create up to four torch-sized lights within range, making them appear as torches, lanterns, or glowing orbs that hover in the air for the duration. You can also combine the four lights into one glowing vaguely humanoid form of Medium size. Whichever form you choose, each light sheds dim light in a 10-foot radius.<br> As a bonus action on your turn, you can move the lights up to 60 feet to a new spot within range. A light must be within 20 feet of another light created by this spell, and a light winks out if it exceeds the spell's range.
Rogue (Arcane Trickster)	0	Fire Bolt	Evocation cantrip	1 action	120 feet	V, S	Instantaneous	You hurl a mote of fire at a creature or object within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 fire damage. A flammable object hit by this spell ignites if it isn't being worn or carried.<br> This spell's damage increases by 1d10 when you reach 5th level (2d10), 11th level (3d10), and 17th level (4d10).
Rogue (Arcane Trickster)	0	Friends	Enchantment  cantrip	1 action	Self	S, M	Concentration, up to 1 minute	For the duration, you have advantage on all Charisma checks directed at one creature of your choice that isn't hostile toward you. When the spell ends, the creature realizes that you used magic to influence its mood and becomes hostile toward you. A creature prone to violence might attack you. Another creature might seek retribution in other ways (at the DM's discretion), depending on the nature of your interaction with it.
Rogue (Arcane Trickster)	0	Light	Evocation cantrip	1 action	Touch	V, M	1 hour	(a firefly or phosphorescent moss)You touch one object that is no larger than 10 feet in any dimension. Until the spell ends, the object sheds bright light in a 20-foot radius and dim light for an additional 20 feet. The light can be colored as you like. Completely covering the object with something opaque blocks the light. The spell ends if you cast it again or dismiss it as an action.<br> If you target an object held or worn by a hostile creature, that creature must succeed on a Dexterity saving throw to avoid the spell.
Rogue (Arcane Trickster)	0	Mage Hand	Conjuration cantrip	1 action	30 feet	V, S	1 minute	A spectral, floating hand appears at a point you choose within range. The hand lasts for the duration or until you dismiss it as an action. The hand vanishes if it is ever more than 30 feet away from you or if you cast this spell again.<br> You can use your action to control the hand. You can use the hand to manipulate an object, open an unlocked door or container, stow or retrieve an item from an open container, or pour the contents out of a vial. You can move the hand up to 30 feet each time you use it. The hand can't attack, activate magical items, or carry more than 10 pounds.
Rogue (Arcane Trickster)	0	Mending	Transmutation cantrip	1 minute	Touch	V, S, M	Instantaneous	(two lodestones)This spell repairs a single break or tear in an object you touch, such as broken chain link, two halves of a broken key, a torn clack, or a leaking wineskin. As long as the break or tear is no larger than 1 foot in any dimension, you mend it, leaving no trace of the former damage.<br> This spell can physically repair a magic item or construct, but the spell can't restore magic to such an object.
Rogue (Arcane Trickster)	0	Message	Transmutation cantrip	1 action	120 feet	V, S, M	1 round	(a short piece of copper wire)You point your finger toward a creature within range and whisper a message. The target (and only the target) hears the message and can reply in a whisper that only you can hear.<br> You can cast this spell through solid objects if you are familiar with the target and know it is beyond the barrier. Magical silence, 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood blocks the spell. The spell doesn't have to follow a straight line and can travel freely around corners or through openings.
